image_name,cone_count,total_area_pixels,individual_areas
cone_0300.png,6,18307,cone_1: 4186px | cone_2: 2147px | cone_3: 8968px | cone_4: 1111px | cone_5: 536px | cone_6: 1359px
cone_0290.png,6,18310,cone_1: 4342px | cone_2: 2371px | cone_3: 7981px | cone_4: 1168px | cone_5: 1544px | cone_6: 904px
cone_0285.png,8,18552,cone_1: 7040px | cone_2: 4234px | cone_3: 2497px | cone_4: 1675px | cone_5: 1196px | cone_6: 852px | cone_7: 411px | cone_8: 647px
cone_0295.png,6,19071,cone_1: 4264px | cone_2: 2364px | cone_3: 9472px | cone_4: 1463px | cone_5: 1097px | cone_6: 411px
cone_0230.png,18,20393,cone_1: 3725px | cone_2: 3906px | cone_3: 383px | cone_4: 588px | cone_5: 2121px | cone_6: 749px | cone_7: 2102px | cone_8: 469px | cone_9: 220px | cone_10: 1334px | cone_11: 475px | cone_12: 792px | cone_13: 230px | cone_14: 132px | cone_15: 192px | cone_16: 804px | cone_17: 2007px | cone_18: 164px
cone_0270.png,14,22003,cone_1: 3128px | cone_2: 1243px | cone_3: 796px | cone_4: 945px | cone_5: 353px | cone_6: 533px | cone_7: 1079px | cone_8: 720px | cone_9: 538px | cone_10: 1935px | cone_11: 1986px | cone_12: 537px | cone_13: 734px | cone_14: 7476px
cone_0305.png,5,22708,cone_1: 1959px | cone_2: 3659px | cone_3: 8892px | cone_4: 6770px | cone_5: 1428px
cone_0265.png,15,23452,cone_1: 2402px | cone_2: 1306px | cone_3: 1867px | cone_4: 7842px | cone_5: 506px | cone_6: 999px | cone_7: 759px | cone_8: 730px | cone_9: 827px | cone_10: 310px | cone_11: 538px | cone_12: 3604px | cone_13: 623px | cone_14: 601px | cone_15: 538px
cone_0320.png,2,23636,cone_1: 17897px | cone_2: 5739px
cone_0255.png,18,24761,cone_1: 2453px | cone_2: 6474px | cone_3: 388px | cone_4: 1073px | cone_5: 4881px | cone_6: 518px | cone_7: 1521px | cone_8: 549px | cone_9: 339px | cone_10: 640px | cone_11: 525px | cone_12: 447px | cone_13: 1454px | cone_14: 553px | cone_15: 523px | cone_16: 1458px | cone_17: 350px | cone_18: 615px
